"","titles","contents"
"1438","Referring to data in a table or chart","showscomparespresentsprovides"
"1439","Referring to data in a table or chart","the experimental data on X"
"1440","Referring to data in a table or chart","the summary statistics for"
"1441","Referring to data in a table or chart","the breakdown of X according to"
"1442","Referring to data in a table or chart","the intercorrelations among the nine measures of X"
"1443","Referring to data in a table or chart","the results obtained from the preliminary analysis of X"
"1444","Referring to data in a table or chart","The table below illustratesThe pie chart above showsThe top half of the table showsThe bottom half of the table shows"
"1445","Referring to data in a table or chart","some of the main characteristics of the"
"1446","Referring to data in a table or chart","As shown in Figure 1,As can be seen from the table (above),From the graph above we can see thatIt can be seen from the data in Table 1 that"
"1447","Referring to data in a table or chart","the X group reported significantly more Y than the other two groups"
"1448","Referring to data in a table or chart","The results of the correlational analysisThe themes identified in these responsesThe results obtained from the preliminary analysis of X"
"1449","Referring to data in a table or chart","are shownare set outare presentedcan be comparedare summarised"
"1450","Highlighting significant data in a table or chart","What stands out in the table is"
"1451","Highlighting significant data in a table or chart","Closer inspection of the table shows"
"1452","Highlighting significant data in a table or chart","It is apparent from this table that very few"
"1453","Highlighting significant data in a table or chart","The most interesting aspect of this graph is"
"1454","Highlighting significant data in a table or chart","10 there is a clear trend of decreasing"
"1455","Highlighting significant data in a table or chart","What is striking about the figures in this table is"
"1456","Highlighting significant data in a table or chart","What is interesting about the data in this table is that"
"1457","Highlighting significant data in a table or chart","The differences between X and Y are highlighted in Table 4"
"1458","Highlighting significant data in a table or chart","From the chart, it can be seen that by far the greatest demand is for"
"1459","Highlighting significant data in a table or chart","From this data, we can see that Study 2 resulted in the lowest value of"
"1460","Highlighting significant data in a table or chart","This table is quite revealing in several ways"
"1461","Highlighting significant data in a table or chart","First, unlike the other tables"
"1462","Highlighting significant data in a table or chart","From the data in Figure 9, it is apparent that the length of time left between"
"1463","Highlighting significant data in a table or chart","Data from this table can be compared with the data in Table 4"
"1464","Highlighting significant data in a table or chart","As Table III shows, there is a significant difference (t = -2"
"1465","Highlighting significant data in a table or chart","03) between the two groups"
"1466","Stating a positive result","The mean score for X was"
"1467","Stating a positive result","Further analysis showed that"
"1468","Stating a positive result","Further statistical tests revealed"
"1469","Stating a positive result","A two-way ANOVA revealed that"
"1470","Stating a positive result","On average, Xs were shown to have"
"1471","Stating a positive result","Strong evidence of X was found when"
"1472","Stating a positive result","This result is significant at the p = 0"
"1473","Stating a positive result","The results, as shown in Table 1, indicate that"
"1474","Stating a positive result","A positive correlation was found between X and Y"
"1475","Stating a positive result","There was a significant positive correlation between"
"1476","Stating a positive result","The difference between the X and Y groups was significant"
"1477","Stating a positive result","There was a significant difference in X, t(11) = 2"
"1478","Stating a positive result","01There was a significant difference between the two conditions"
"1479","Stating a positive result","Respondents who reported low levels of X also reported significantly lower levels of Y"
"1480","Stating a negative result","No increase in X was detected"
"1481","Stating a negative result","No difference greater than X was observed"
"1482","Stating a negative result","No significant differences were found between"
"1483","Stating a negative result","None of these differences were statistically significant"
"1484","Stating a negative result","No significant difference between the two groups was evident"
"1485","Stating a negative result","No significant reduction in X was found compared with placebo"
"1486","Stating a negative result","No evidence was found for non-linear associations between X and Y"
"1487","Stating a negative result","No significant correlation was found between X scores and the Y scores (p ="
"1488","Stating a negative result","X appeared to be unaffected by Y"
"1489","Stating a negative result","Only trace amounts of X were detected in"
"1490","Stating a negative result","There was no evidence that X has an influence on"
"1491","Stating a negative result","The Chi-square test did not show any significant differences between"
"1492","Stating a negative result","Overall, X did not affect males and females differently in these measures"
"1493","Stating a negative result","A clear benefit of X in the prevention of Y could not be identified in this analysis"
"1494","Stating a negative result","T-tests found no significant differences in mean scores on the X and Y subscales"
"1495","Reporting positive and negative reactions","Stimulation of X cells with Y did not increase the"
"1496","Reporting positive and negative reactions","With successive increases in intensity of the X, the Y moved further to"
"1497","Reporting positive and negative reactions","Following the addition of X, a significant increase (P<0"
"1498","Reporting positive and negative reactions","05) in the Y was recorded"
"1499","Reporting positive and negative reactions","When X cells were stimulated with Y, no significant difference in the number of Z was detected"
"1500","Highlighting interesting or surprising results","Interestingly, the X was observed to"
"1501","Highlighting interesting or surprising results","This result is somewhat counterintuitive"
"1502","Highlighting interesting or surprising results","Interestingly, this correlation is related to"
"1503","Highlighting interesting or surprising results","The more surprising correlation is with the"
"1504","Highlighting interesting or surprising results","Surprisingly, only a minority of respondents"
"1505","Highlighting interesting or surprising results","The most surprising aspect of the data is in the"
"1506","Highlighting interesting or surprising results","The correlation between X and Y is interesting because"
"1507","Highlighting interesting or surprising results","The most striking result to emerge from the data is that"
"1508","Highlighting interesting or surprising results","Interestingly, there were also differences in the ratios of"
"1509","Highlighting interesting or surprising results","The single most striking observation to emerge from the data comparison was"
"1510","Highlighting interesting or surprising results","This is a/an (rather)"
"1511","Surveys and interviews: Reporting response rates","The overall response to the survey was poor"
"1512","Surveys and interviews: Reporting response rates","Thirty-two individuals returned the questionnaires"
"1513","Surveys and interviews: Reporting response rates","The response rate was 60% at six months and 56% at 12 months"
"1514","Surveys and interviews: Reporting response rates","Of the study population, 90 subjects completed and returned the questionnaire"
"1515","Surveys and interviews: Reporting response rates","Of 150 patients who were sent invitations, 81 returned the reply slip, of whom 60 agreed to"
"1516","Surveys and interviews: Reporting response rates","By the end of the survey period, data had been collected from 64 individuals, 23 of whom were"
"1517","Surveys and interviews: Reporting response rates","There were 53 responses to the question: ‘"
"1518","Surveys and interviews: Reporting response rates","?’Respondents were asked to indicate whether"
"1519","Surveys and interviews: Reporting response rates","The total number of responses for this question was"
"1520","Surveys and interviews: Reporting response rates","The overall response to this question was very positive"
"1521","Surveys and interviews: Reporting response rates","Respondents were asked to suggest other reasons for"
"1522","Surveys and interviews: Reporting response rates","In response to the question: ‘"
"1523","Surveys and interviews: Reporting response rates","?’, a range of responses was elicited"
"1524","Surveys and interviews: Reporting response rates","This section of the questionnaire required respondents to give information on"
"1525","Surveys and interviews: Reporting proportions","Over half of those surveyed reported that"
"1526","Surveys and interviews: Reporting proportions","A minority of participants (17%) indicated that"
"1527","Surveys and interviews: Reporting proportions","70% of those who were interviewed indicated that"
"1528","Surveys and interviews: Reporting proportions","Almost two-thirds of the participants (64%) said that"
"1529","Surveys and interviews: Reporting proportions","The majority of those who responded to this item felt that"
"1530","Surveys and interviews: Reporting proportions",", 90% of the respondents reported that"
"1531","Surveys and interviews: Reporting proportions","Just over half of those who answered this question reported that"
"1532","Surveys and interviews: Reporting proportions","In response to Question 1, most of those surveyed indicated that"
"1533","Surveys and interviews: Reporting proportions","When the participants were asked"
"1534","Surveys and interviews: Reporting proportions",", the majority commented that"
"1535","Surveys and interviews: Reporting proportions","Of the 148 patients who completed the questionnaire, just over half indicated that"
"1536","Surveys and interviews: Reporting themes","Another reported problem was"
"1537","Surveys and interviews: Reporting themes","Opinions differed as to whether"
"1538","Surveys and interviews: Reporting themes","Concerns were expressed about"
"1539","Surveys and interviews: Reporting themes","A number of issues were identified"
"1540","Surveys and interviews: Reporting themes","A variety of perspectives were expressed"
"1541","Surveys and interviews: Reporting themes","These views surfaced mainly in relation to"
"1542","Surveys and interviews: Reporting themes","Concerns regarding X were more widespread"
"1543","Surveys and interviews: Reporting themes","There was a sense of X amongst interviewees"
"1544","Surveys and interviews: Reporting themes","Five broad themes emerged from the analysis"
"1545","Surveys and interviews: Reporting themes","A common view amongst interviewees was that"
"1546","Surveys and interviews: Reporting themes","One concern expressed regarding X was whether"
"1547","Surveys and interviews: Reporting themes","This theme came up for example in discussions of"
"1548","Surveys and interviews: Reporting themes","The themes of X and Y recurred throughout the dataset"
"1549","Surveys and interviews: Reporting themes","Two divergent and often conflicting discourses emerged"
"1550","Surveys and interviews: Reporting themes","Two discrete reasons emerged from this"
"1551","Surveys and interviews: Reporting themes","Issues related to X were not particularly prominent in the interview data"
"1552","Surveys and interviews: Reporting themes","A recurrent theme in the interviews was a sense amongst interviewees that"
"1553","Surveys and interviews: Reporting participants’ views","It was suggested that"
"1554","Surveys and interviews: Reporting participants’ views","One interviewee argued that"
"1555","Surveys and interviews: Reporting participants’ views","There were some suggestions that"
"1556","Surveys and interviews: Reporting participants’ views","In all cases, the informants reported that"
"1557","Surveys and interviews: Reporting participants’ views","In their accounts of the events surrounding"
"1558","Surveys and interviews: Reporting participants’ views","There were some negative comments about"
"1559","Surveys and interviews: Reporting participants’ views","The participants on the whole demonstrated"
"1560","Surveys and interviews: Reporting participants’ views",", while others considered that"
"1561","Surveys and interviews: Reporting participants’ views","Some interviewees argued that"
"1562","Surveys and interviews: Reporting participants’ views","This view was echoed by another informant who"
"1563","Surveys and interviews: Reporting participants’ views","Whilst a minority mentioned that"
"1564","Surveys and interviews: Reporting participants’ views","Only a small number of respondents indicated that"
"1565","Surveys and interviews: Reporting participants’ views","A small number of those interviewed suggested that"
"1566","Surveys and interviews: Reporting participants’ views","For a small number of participants X was the reason for"
"1567","Surveys and interviews: Reporting participants’ views","The majority of participants agreed with the statement that"
"1568","Surveys and interviews: Reporting participants’ views","When asked about X, the participants were unanimous in the view that"
"1569","Surveys and interviews: Introducing excerpts","As one interviewee said: ‘"
"1570","Surveys and interviews: Introducing excerpts","’As one interviewee put it: ‘"
"1571","Surveys and interviews: Introducing excerpts","’One informant reported that"
"1572","Surveys and interviews: Introducing excerpts","The comment below illustrates"
"1573","Surveys and interviews: Introducing excerpts","One participant commented: ‘"
"1574","Surveys and interviews: Introducing excerpts","’For example, one interviewee said: ‘"
"1575","Surveys and interviews: Introducing excerpts","’In one case, the participant thought that"
"1576","Surveys and interviews: Introducing excerpts","Another interviewee, when asked"
"1577","Surveys and interviews: Introducing excerpts","’Other responses to this question included: ‘"
"1578","Surveys and interviews: Introducing excerpts","’Another interviewee alluded to the notion of"
"1579","Surveys and interviews: Introducing excerpts","Talking about this issue an interviewee said: ‘"
"1580","Surveys and interviews: Introducing excerpts","’Commenting on X, one of the interviewees said"
"1581","Surveys and interviews: Introducing excerpts","One individual stated that ‘"
"1582","Surveys and interviews: Introducing excerpts","’ And another commented ‘"
"1583","Transition: moving to the next result","A comparison of the two results reveals"
"1584","Transition: moving to the next result","Turning now to the experimental evidence on"
"1585","Transition: moving to the next result","Comparing the two results, it can be seen that"
"1586","Transition: moving to the next result","The next section of the survey was concerned with"
"1587","Transition: moving to the next result","In the final part of the survey, respondents were asked"
"1588","Summarising the results section","These results suggest that"
"1589","Summarising the results section","Overall, these results indicate that"
"1590","Summarising the results section","In summary, these results show that"
"1591","Summarising the results section","In summary, for the informants in this study,"
"1592","Summarising the results section","Together these results provide important insights into"
"1593","Summarising the results section","Taken together, these results suggest that there is an association between"
"1594","Summarising the results section","The results in this chapter indicate that"
"1595","Summarising the results section","The next chapter, therefore, moves on to discuss the"
"1596","Providing background information: reference to the literature","Several reports have shown that"
"1597","Providing background information: reference to the literature","As mentioned in the literature review,"
"1598","Providing background information: reference to the literature","Prior studies that have noted the importance of"
"1599","Providing background information: reference to the literature","Very little was found in the literature on the question of"
"1600","Providing background information: reference to the literature","Previous studies evaluating X observed inconsistent results on whether"
"1601","Providing background information: reference to the literature","A strong relationship between X and Y has been reported in the literature"
"1602","Providing background information: reference to the literature","In reviewing the literature, no data was found on the association between X and Y"
"1603","Providing background information: reference to the question","The third question in this research was"
"1604","Providing background information: reference to the question","An initial objective of the project was to identify"
"1605","Providing background information: reference to the question","The first question in this study sought to determine"
"1606","Providing background information: reference to the question","It was hypothesised that participants with a history of"
"1607","Providing background information: reference to the question","The present study was designed to determine the effect of"
"1608","Providing background information: reference to the question","With respect to the first research question, it was found that"
"1609","Providing background information: reference to the question","This study set out with the aim of assessing the importance of X in"
"1610","Restating the result or one of several results","One interesting finding is"
"1611","Restating the result or one of several results","The current study found that"
"1612","Restating the result or one of several results","Another important finding was that"
"1613","Restating the result or one of several results","The most interesting finding was that"
"1614","Restating the result or one of several results","In this study, Xs were found to cause"
"1615","Restating the result or one of several results","The results of this study show/indicate that"
"1616","Restating the result or one of several results","On the question of X, this study found that"
"1617","Restating the result or one of several results","This experiment did not detect any evidence for"
"1618","Restating the result or one of several results","The most important clinically relevant finding was"
"1619","Restating the result or one of several results","X provided the largest set of significant clusters of"
"1620","Restating the result or one of several results","It is interesting to note that in all seven cases of this study"
"1621","Restating the result or one of several results","The most obvious finding to emerge from the analysis is that"
"1622","Restating the result or one of several results","In the current study, comparing X with Y showed that the mean degree of"
"1623","Restating the result or one of several results","The results of this study did not show that"
"1624","Restating the result or one of several results","/did not show any significant increase in"
"1625","Indicating an unexpected outcome","Surprisingly, X was found to"
"1626","Indicating an unexpected outcome","What is surprising is that"
"1627","Indicating an unexpected outcome","One unanticipated finding was that"
"1628","Indicating an unexpected outcome","Surprisingly, no differences were found in"
"1629","Indicating an unexpected outcome","This finding was unexpected and suggests that"
"1630","Indicating an unexpected outcome","It is somewhat surprising that no X was noted in this condition"
"1631","Indicating an unexpected outcome","Contrary to expectations, this study did not find a significant difference between"
"1632","Indicating an unexpected outcome","However, the observed difference between X and Y in this study was not significant"
"1633","Indicating an unexpected outcome","However, the ANOVA (one way) showed that these results were not statistically significant"
"1634","Comparing the result: supporting previous findings","This study confirms that X is associated with"
"1635","Comparing the result: supporting previous findings","This finding was also reported by Smith et al"
"1636","Comparing the result: supporting previous findings","This finding is consistent with that of Smith (2000) who"
"1637","Comparing the result: supporting previous findings","Comparison of the findings with those of other studies confirms"
"1638","Comparing the result: supporting previous findings","This also accords with our earlier observations, which showed that"
"1639","Comparing the result: supporting previous findings","These results reflect those of Smith et al"
"1640","Comparing the result: supporting previous findings","(1992) who also found that"
"1641","Comparing the result: supporting previous findings","Increased activation in the X in this study corroborates these earlier findings"
"1642","Comparing the result: supporting previous findings","These results corroborate the findings of a great deal of the previous work in"
"1643","Comparing the result: supporting previous findings","This finding broadly supports the work of other studies in this area linking X with Y"
"1644","Comparing the result: supporting previous findings","In accordance with the present results, previous studies have demonstrated that"
"1645","Comparing the result: supporting previous findings","It is encouraging to compare this figure with that found by Jones (1993) who found that"
"1646","Comparing the result: supporting previous findings","Consistent with the literature, this research found that participants who reported using X also"
"1647","Comparing the result: supporting previous findings","This study supports evidence from previous observations (e"
"1648","Comparing the result: supporting previous findings","Smith, 2006; Jones et al"
"1649","Comparing the result: supporting previous findings","There are similarities between the attitudes expressed by X in this study and those described by"
"1650","Comparing the result: supporting previous findings","further support the idea of"
"1651","Comparing the result: supporting previous findings","confirm the association between"
"1652","Comparing the result: supporting previous findings","are consistent with data obtained in"
"1653","Comparing the result: supporting previous findings","match those observed in earlier studies"
"1654","Comparing the result: supporting previous findings","are in line with those of previous studies"
"1655","Comparing the result: supporting previous findings","are in agreement with those obtained by"
"1656","Comparing the result: supporting previous findings","are in accord with recent studies indicating that"
"1657","Comparing the result: supporting previous findings","seem to be consistent with other research which found"
"1658","Comparing the result: supporting previous findings","are consistent with those of Smith and Jones (2015) who"
"1659","Comparing the result: supporting previous findings","are in agreement with Smith’s (1999) findings which showed"
"1660","Comparing the result: supporting previous findings","support previous research into this brain area which links X and Y"
"1661","Comparing the result: supporting previous findings","corroborate the ideas of Smith and Jones (2008), who suggested that"
"1662","Comparing the result: contradicting previous findings","This study has been unable to demonstrate that"
"1663","Comparing the result: contradicting previous findings","However, this result has not previously been described"
"1664","Comparing the result: contradicting previous findings","This outcome is contrary to that of Smith et al"
"1665","Comparing the result: contradicting previous findings","This finding is contrary to previous studies which have suggested that"
"1666","Comparing the result: contradicting previous findings","In contrast to earlier findings, however, no evidence of X was detected"
"1667","Comparing the result: contradicting previous findings","The yields in this investigation were higher compared to those of other studies"
"1668","Comparing the result: contradicting previous findings","However, the findings of the current study do not support the previous research"
"1669","Comparing the result: contradicting previous findings","This differs from the findings presented here"
"1670","Comparing the result: contradicting previous findings","The overall level was found to be 15%, lower than that of previously reported levels"
"1671","Comparing the result: contradicting previous findings","It has been suggested that"
"1672","Comparing the result: contradicting previous findings","This does not appear to be the case"
"1673","Comparing the result: contradicting previous findings","The levels observed in this investigation are far below those observed by Smith et al"
"1674","Comparing the result: contradicting previous findings","These results differ from X’s 2003 estimate of Y, but they are broadly consistent with earlier"
"1675","Offering an explanation for the findings","A possible explanation for this might be that"
"1676","Offering an explanation for the findings","Another possible explanation for this is that"
"1677","Offering an explanation for the findings","This result may be explained by the fact that"
"1678","Offering an explanation for the findings","There are, however, other possible explanations"
"1679","Offering an explanation for the findings","These relationships may partly be explained by"
"1680","Offering an explanation for the findings","There are several possible explanations for this result"
"1681","Offering an explanation for the findings","A possible explanation for these results may be the lack of adequate"
"1682","Offering an explanation for the findings","These differences can be explained in part by the proximity of X and Y"
"1683","Offering an explanation for the findings","These factors may explain the relatively good correlation between X and Y"
"1684","Offering an explanation for the findings","This inconsistency may be due to"
"1685","Offering an explanation for the findings","These results are likely to be related to"
"1686","Offering an explanation for the findings","This discrepancy could be attributed to"
"1687","Offering an explanation for the findings","It seems possible that these results are due to"
"1688","Offering an explanation for the findings","This rather contradictory result may be due to"
"1689","Offering an explanation for the findings","The observed increase in X could be attributed to"
"1690","Offering an explanation for the findings","It is difficult to explain this result, but it might be related to"
"1691","Offering an explanation for the findings","The possible interference of X cannot be ruled out"
"1692","Offering an explanation for the findings","It may be that these participants benefitted from"
"1693","Offering an explanation for the findings","Differences between X and Y may have influenced"
"1694","Offering an explanation for the findings","These possible sources of error could have affected"
"1695","Offering an explanation for the findings","There are two likely causes for the differences between"
"1696","Offering an explanation for the findings","The reason for this is not clear but it may have something to do with"
"1697","Offering an explanation for the findings","The observed correlation between X and Y might be explained in this way:"
"1698","Offering an explanation for the findings","Since this difference has not been found elsewhere it is probably not due to"
"1699","Advising cautious interpretation of the findings","Another source of uncertainty is"
"1700","Advising cautious interpretation of the findings","A note of caution is due here since"
"1701","Advising cautious interpretation of the findings","These findings may be somewhat limited by"
"1702","Advising cautious interpretation of the findings","These findings cannot be extrapolated to all patients"
"1703","Advising cautious interpretation of the findings","These data must be interpreted with caution because"
"1704","Advising cautious interpretation of the findings","It could be argued that the positive results were due to"
"1705","Advising cautious interpretation of the findings","These results therefore need to be interpreted with caution"
"1706","Advising cautious interpretation of the findings","In observational studies, there is a potential for bias from"
"1707","Advising cautious interpretation of the findings","It is important to bear in mind the possible bias in these responses"
"1708","Advising cautious interpretation of the findings","Although exclusion of X did not"
"1709","Advising cautious interpretation of the findings",", these results should be interpreted with caution"
"1710","Advising cautious interpretation of the findings","However, with a small sample size, caution must be applied, as the findings might not be"
"1711","Suggesting general hypotheses","It is possible, therefore, that"
"1712","Suggesting general hypotheses","It can thus be suggested that"
"1713","Suggesting general hypotheses","In general, therefore, it seems that"
"1714","Suggesting general hypotheses","It may be the case therefore that these variations"
"1715","Suggesting general hypotheses","It is therefore likely that such connections exist between"
"1716","Suggesting general hypotheses","It is possible to hypothesise that these conditions are less likely to occur in"
"1717","Suggesting general hypotheses","These findings suggest that"
"1718","Suggesting general hypotheses","According to these data, we can infer that"
"1719","Suggesting general hypotheses","This observation may support the hypothesis that"
"1720","Suggesting general hypotheses","Hence, it could conceivably be hypothesised that"
"1721","Suggesting general hypotheses","The value of X suggests that a weak link may exist between"
"1722","Suggesting general hypotheses","These results provide further support for the hypothesis that"
"1723","Suggesting general hypotheses","Therefore, X could be a major factor, if not the only one, causing"
"1724","Noting implications of the findings","It can therefore be assumed that the"
"1725","Noting implications of the findings","An implication of this is the possibility that"
"1726","Noting implications of the findings","The present study raises the possibility that"
"1727","Noting implications of the findings","One of the issues that emerges from these findings is"
"1728","Noting implications of the findings","Some of the issues emerging from this finding relate specifically to"
"1729","Noting implications of the findings","These findings may help us to understand"
"1730","Noting implications of the findings","This finding, while preliminary, suggests that"
"1731","Noting implications of the findings","This finding has important implications for developing"
"1732","Noting implications of the findings","This observational study suggests that a diet rich in X may help prevent"
"1733","Noting implications of the findings","These findings raise intriguing questions regarding the nature and extent of"
"1734","Noting implications of the findings","This combination of findings provides some support for the conceptual premise that"
"1735","Commenting on the findings","These findings are rather disappointing"
"1736","Commenting on the findings","However, these results were not very encouraging"
"1737","Commenting on the findings","The test was successful as it was able to identify students who"
"1738","Commenting on the findings","The present results are significant in at least two major respects"
"1739","Commenting on the findings","The results of this study do not explain the occurrence of these adverse events"
"1740","Commenting on the findings","These findings will doubtless be much scrutinised, but there are some immediately dependable conclusions for"
"1741","Giving suggestions for future work","This is an important issue for future research"
"1742","Giving suggestions for future work","Research questions that could be asked include"
"1743","Giving suggestions for future work","There are still many unanswered questions about"
"1744","Giving suggestions for future work","Several questions remain unanswered at present"
"1745","Giving suggestions for future work","Despite these promising results, questions remain"
"1746","Giving suggestions for future work","Further work is required to establish the viability of"
"1747","Giving suggestions for future work","Further research should be undertaken to investigate the"
"1748","Giving suggestions for future work","There is abundant room for further progress in determining"
"1749","Giving suggestions for future work","A further study with more focus on X is therefore suggested"
"1750","Giving suggestions for future work","Future studies on the current topic are therefore recommended"
"1751","Giving suggestions for future work","To develop a full picture of X, additional studies will be needed that"
"1752","Giving suggestions for future work","In future investigations, it might be possible to use a different X in which"
"1753","Giving suggestions for future work","Further studies, which take these variables into account, will need to be undertaken"
"1754","Restating the aims of the study","This study set out to"
"1755","Restating the aims of the study","This paper has argued that"
"1756","Restating the aims of the study","This essay has discussed the reasons for"
"1757","Restating the aims of the study","In this investigation, the aim was to assess"
"1758","Restating the aims of the study","The aim of the present research was to examine"
"1759","Restating the aims of the study","The purpose of the current study was to determine"
"1760","Restating the aims of the study","The main goal of the current study was to determine"
"1761","Restating the aims of the study","This project was undertaken to design"
"1762","Restating the aims of the study","The present study was designed to determine the effect of"
"1763","Restating the aims of the study","The second aim of this study was to investigate the effects of"
"1764","Summarising main research findings","This study has identified"
"1765","Summarising main research findings","This study has shown that"
"1766","Summarising main research findings","The research has also shown that"
"1767","Summarising main research findings","The second major finding was that"
"1768","Summarising main research findings","These experiments confirmed that"
"1769","Summarising main research findings","X made no significant difference to"
"1770","Summarising main research findings","This study has found that generally"
"1771","Summarising main research findings","The investigation of X has shown that"
"1772","Summarising main research findings","The results of this investigation show that"
"1773","Summarising main research findings","X, Y and Z emerged as reliable predictors of"
"1774","Summarising main research findings","Multiple regression analysis revealed that the"
"1775","Summarising main research findings","The most obvious finding to emerge from this study is that"
"1776","Summarising main research findings","The relevance of X is clearly supported by the current findings"
"1777","Summarising main research findings","One of the more significant findings to emerge from this study is that"
"1778","Suggesting implications for the field of knowledge","In general, therefore, it seems that"
"1779","Suggesting implications for the field of knowledge","The results of this study indicate that"
"1780","Suggesting implications for the field of knowledge","These findings suggest that in general"
"1781","Suggesting implications for the field of knowledge","The findings of this study suggest that"
"1782","Suggesting implications for the field of knowledge","Taken together, these results suggest that"
"1783","Suggesting implications for the field of knowledge","An implication of this is the possibility that"
"1784","Suggesting implications for the field of knowledge","The evidence from this study suggests that"
"1785","Suggesting implications for the field of knowledge","Overall, this study strengthens the idea that"
"1786","Suggesting implications for the field of knowledge","The current data highlight the importance of"
"1787","Suggesting implications for the field of knowledge","The findings of this research provide insights for"
"1788","Suggesting implications for the field of knowledge","The results of this research support the idea that"
"1789","Suggesting implications for the field of knowledge","These data suggest that X can be achieved through"
"1790","Suggesting implications for the field of knowledge","The theoretical implications of these findings are unclear"
"1791","Suggesting implications for the field of knowledge","The principal theoretical implication of this study is that"
"1792","Suggesting implications for the field of knowledge","This study has raised important questions about the nature of"
"1793","Suggesting implications for the field of knowledge","The following conclusions can be drawn from the present study"
"1794","Suggesting implications for the field of knowledge","Taken together, these findings suggest a role for X in promoting Y"
"1795","Suggesting implications for the field of knowledge","The findings of this investigation complement those of earlier studies"
"1796","Suggesting implications for the field of knowledge","These findings have significant implications for the understanding of how"
"1797","Suggesting implications for the field of knowledge","Although this study focuses on X, the findings may well have a bearing on"
"1798","Explaining the significance of the findings or contribution of the study","The findings will be of interest to"
"1799","Explaining the significance of the findings or contribution of the study","This thesis has provided a deeper insight into"
"1800","Explaining the significance of the findings or contribution of the study","The findings reported here shed new light on"
"1801","Explaining the significance of the findings or contribution of the study","The study contributes to our understanding of"
"1802","Explaining the significance of the findings or contribution of the study","These results add to the rapidly expanding field of"
"1803","Explaining the significance of the findings or contribution of the study","The contribution of this study has been to confirm"
"1804","Explaining the significance of the findings or contribution of the study","Before this study, evidence of X was purely anecdotal"
"1805","Explaining the significance of the findings or contribution of the study","This project is the first comprehensive investigation of"
"1806","Explaining the significance of the findings or contribution of the study","The insights gained from this study may be of assistance to"
"1807","Explaining the significance of the findings or contribution of the study","This work contributes to existing knowledge of X by providing"
"1808","Explaining the significance of the findings or contribution of the study","This is the largest study so far documenting a delayed onset of"
"1809","Explaining the significance of the findings or contribution of the study","Prior to this study it was difficult to make predictions about how"
"1810","Explaining the significance of the findings or contribution of the study","The analysis of X undertaken here, has extended our knowledge of"
"1811","Explaining the significance of the findings or contribution of the study","The empirical findings in this study provide a new understanding of"
"1812","Explaining the significance of the findings or contribution of the study","This paper contributes to recent historiographical debates concerning"
"1813","Explaining the significance of the findings or contribution of the study","This approach will prove useful in expanding our understanding of how"
"1814","Explaining the significance of the findings or contribution of the study","This new understanding should help to improve predictions of the impact of"
"1815","Explaining the significance of the findings or contribution of the study","This is the first report on X from a nationally representative cohort of patients"
"1816","Explaining the significance of the findings or contribution of the study","The methods used for this X may be applied to other Xs elsewhere in the world"
"1817","Explaining the significance of the findings or contribution of the study","The X that we have identified therefore assists in our understanding of the role of"
"1818","Explaining the significance of the findings or contribution of the study","This is the first study of substantial duration which examines associations between"
"1819","Explaining the significance of the findings or contribution of the study","The findings from this study make several contributions to the current literature"
"1820","Explaining the significance of the findings or contribution of the study","These findings contribute in several ways to our understanding of X and provide a basis for"
"1821","Explaining the significance of the findings or contribution of the study","lays the groundwork for future research into"
"1822","Explaining the significance of the findings or contribution of the study","provides the first comprehensive assessment of"
"1823","Explaining the significance of the findings or contribution of the study","establishes a quantitative framework for detecting"
"1824","Explaining the significance of the findings or contribution of the study","adds to the growing body of research that indicates"
"1825","Explaining the significance of the findings or contribution of the study","is the only empirical investigation into the impact of"
"1826","Explaining the significance of the findings or contribution of the study","has been one of the first attempts to thoroughly examine"
"1827","Explaining the significance of the findings or contribution of the study","appears to be the first study to compare the experiences of"
"1828","Explaining the significance of the findings or contribution of the study","has gone some way towards enhancing our understanding of"
"1829","Explaining the significance of the findings or contribution of the study","has confirmed the findings of Smith et al"
"1830","Explaining the significance of the findings or contribution of the study","(2001) which found that"
"1831","Recognising the limitations of the current study","A limitation of this study is that"
"1832","Recognising the limitations of the current study","Being limited to X, this study lacks"
"1833","Recognising the limitations of the current study","The small sample size did not allow"
"1834","Recognising the limitations of the current study","The major limitation of this study is the"
"1835","Recognising the limitations of the current study","This study was limited by the absence of"
"1836","Recognising the limitations of the current study","X makes these findings less generalisable to"
"1837","Recognising the limitations of the current study","Thirdly, the study did not evaluate the use of"
"1838","Recognising the limitations of the current study","It is unfortunate that the study did not include"
"1839","Recognising the limitations of the current study","The scope of this study was limited in terms of"
"1840","Recognising the limitations of the current study","The study is limited by the lack of information on"
"1841","Recognising the limitations of the current study","The most important limitation lies in the fact that"
"1842","Recognising the limitations of the current study","The main weakness of this study was the paucity of"
"1843","Recognising the limitations of the current study","Since the study was limited to X, it was not possible to"
"1844","Recognising the limitations of the current study","An additional uncontrolled factor is the possibility that"
"1845","Recognising the limitations of the current study","It was not possible to assess X; therefore, it is unknown if"
"1846","Recognising the limitations of the current study","An issue that was not addressed in this study was whether"
"1847","Recognising the limitations of the current study","The generalisability of these results is subject to certain limitations"
"1848","Recognising the limitations of the current study","One source of weakness in this study which could have affected the measurements of X was"
"1849","Acknowledging limitation(s) whilst stating a finding or contribution","Notwithstanding these limitations, the study suggests that"
